,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
69,Sri Gayatri Bhavan,South Indian,3.6,34,250,Hyderabad
70,Idli Street,"South Indian, Indian, Snacks",3.9,44,200,Hyderabad
71,EXPRESS BY AB'S,"Biryani, North Indian, Chinese, South Indian",3.5,35,400,Hyderabad
72,House Of Dosa'S,South Indian,4.3,27,200,Hyderabad
73,Taste & Go,"South Indian, Biryani, Fast Food",--,38,200,Hyderabad
74,Amma Vanta,South Indian,3.7,42,150,Hyderabad
75,Homely Fit,"South Indian, North Indian, Healthy Food, Keto, Beverages",3.8,41,200,Hyderabad
76,Swaad Veg,"North Indian, Chinese, Snacks, South Indian",4.0,38,500,Hyderabad
77,Peppy Parathas & Rolls By Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",--,39,150,Hyderabad
78,Mana Bhojanam,"South Indian, Indian",4.0,45,500,Hyderabad
79,Godarolla Ruchulu Rice Bowls,"South Indian, Seafood",--,41,400,Hyderabad
80,Seema ruchulu,South Indian,3.5,31,150,Hyderabad
81,ARYA RASOI,"Andhra, South Indian, Seafood, Desserts, Coastal",3.6,43,450,Hyderabad
82,Grab A Bowl,"North Indian, South Indian, Healthy Food, Juices",4.0,29,250,Hyderabad
83,MilletBowl By UrbanKisaan,"Healthy Food, South Indian, Biryani",3.8,28,250,Hyderabad
84,Konaseema Specials,"North Indian, Biryani, South Indian, Hyderabadi",3.7,41,300,Hyderabad
85,Southern Mirchi,"South Indian, Biryani, Thalis",3.5,25,600,Hyderabad
86,Ahobilam Foods - Millet Cave,"Healthy Food, South Indian, Continental, Salads, Snacks, Juices",4.2,27,150,Hyderabad
87,Sai vasavi veg,"South Indian, Snacks",3.8,40,50,Hyderabad
88,Raavoyi Chandamama,"South Indian, Indian, Kebabs",--,37,200,Hyderabad
89,RAJU GARI TIFFINS,"South Indian, Juices",3.2,29,200,Hyderabad
90,Dosa Man,"South Indian, North Indian",4.4,25,150,Hyderabad
91,Meghana's Spicy Foods,"Biryani, South Indian",3.4,45,300,Hyderabad
92,Healing Rice Bowls,"North Indian, South Indian, Healthy Food",3.5,43,250,Hyderabad
93,Shero Home Food - Chettinad,"South Indian, Chettinad",--,37,350,Hyderabad
94,Krupa Mess And Tiffins,"Chinese, North Indian, South Indian",--,32,400,Hyderabad
95,Ghee Idli,South Indian,3.8,26,100,Hyderabad
96,Aaha Food Village,South Indian,3.9,25,200,Hyderabad
97,Southern Corner,"North Indian, South Indian, Thalis",4.4,42,200,Hyderabad
98,Deepak Edla's Kitchen,"North Indian, South Indian, Chinese",3.9,37,250,Hyderabad
99,SRI BALAJI TIFFINS ,South Indian,3.5,27,150,Hyderabad
