,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
67,MUSAFIR THE FOOD JUNCTION,"North Indian, Chinese, South Indian, Snacks, Indian",3.2,48,200,Lucknow
68,Spicy Treat,"South Indian, Indian",4.0,50,400,Lucknow
69,Shree Balaji Fast Food,"South Indian, Snacks",--,51,189,Lucknow
70,Giriraj Cafe & Restaurant,"North Indian, Chinese, Biryani, South Indian, Indian, Italian, Punjabi, Desserts",4.0,41,200,Lucknow
71,JAI MAA ANNAPURNA BHOJNALAYA,"North Indian, South Indian, Chinese",3.0,54,250,Lucknow
72,The Great Indian Kitchen,"South Indian, Fast Food, Indian",2.3,55,200,Lucknow
73,MERAAV RESTAURANT,"Indian, South Indian, Tandoor, Chinese",4.9,51,400,Lucknow
74,Chaap  N Paratha,"South Indian, Chinese, Biryani",--,49,200,Lucknow
75,Lucknow Chopsticks,"North Indian, South Indian, Chinese, Snacks",--,51,200,Lucknow
76,Brijraj  Zaayka,"Chinese, South Indian, Italian, Burgers",--,51,200,Lucknow
77,Radhey Lal Sweets,"Sweets, South Indian, Beverages",4.1,40,150,Lucknow
78,Vintage Village,"Indian, Chinese, Mughlai, Beverages, South Indian, Snacks",3.8,43,200,Lucknow
79,Flavours,"South Indian, Biryani, Chinese, North Indian",--,45,200,Lucknow
80,Dakshina Ruchi,"South Indian, Indian",4.1,36,200,Lucknow
81,LALAJI EATING POINT,"Chinese, South Indian, Snacks",--,45,250,Lucknow
82,First Bite,"Chinese, South Indian, Burgers, Fast Food",--,51,250,Lucknow
83,The Khichdi Express,"North Indian, Chinese, South Indian",3.8,49,200,Lucknow
84,Awadh Thali & Combo Junction,"Indian, Chinese, Thalis, South Indian",3.5,49,300,Lucknow
85,Mr. Hungryy,"Indian, Chinese, South Indian, Fast Food, Snacks",--,52,150,Lucknow
86,Tasty Point,"Chinese, Fast Food, South Indian",3.1,45,100,Lucknow
87,Mehk- e- Awadh,"North Indian, Chinese, Biryani, South Indian",4.1,53,300,Lucknow
88,Bombay Pav Bhaji & Dosa Corner,"North Indian, South Indian",3.9,39,150,Lucknow
89,Tamil Nadu South Indian Dosa,South Indian,4.0,43,250,Lucknow
